ArrayTaskID Sample  Condition
1   PN0551_0017_S17_L001    SG_1
2   PN0551_0018_S18_L001    SG_2
3   PN0551_0019_S19_L001    SG_3
4   PN0551_0020_S20_L001    SG_4
5   PN0551_0021_S21_L001    SG_5
6   PN0551_0022_S22_L001    SG_6
7   PN0551_0023_S23_L001    FF_1
8   PN0551_0024_S24_L001    FF_2
9   PN0551_0025_S25_L001    FF_3
10  PN0551_0026_S26_L001    FF_4
11  PN0551_0027_S27_L001    FF_5
12  PN0551_0028_S28_L001    FF_6
13  PN0551_0029_S29_L001    FL_1
14  PN0551_0030_S30_L001    FL_2
15  PN0551_0031_S31_L001    FL_3
16  PN0551_0032_S32_L001    FL_4
17  PN0551_0033_S33_L001    FL_5
